VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes aegypti,,"Agwu, E. J., Igbinosa, I. B., & Isaac, C. (2016). Entomological assessment of yellow fever-epidemic risk indices in Benue State, Nigeria, 2010–2011. Acta tropica, 161, 18-25.",point,-999,6.92,8.38,2011,Nigeria,NGA,,NEW
Aedes aegypti,,"Agwu, E. J., Igbinosa, I. B., & Isaac, C. (2016). Entomological assessment of yellow fever-epidemic risk indices in Benue State, Nigeria, 2010–2011. Acta tropica, 161, 18-25.",point,-999,6.78,8.45,2011,Nigeria,NGA,,NEW
Aedes aegypti,,"Agwu, E. J., Igbinosa, I. B., & Isaac, C. (2016). Entomological assessment of yellow fever-epidemic risk indices in Benue State, Nigeria, 2010–2011. Acta tropica, 161, 18-25.",point,-999,7.19,8.14,2011,Nigeria,NGA,,NEW
Aedes aegypti,,"Agwu, E. J., Igbinosa, I. B., & Isaac, C. (2016). Entomological assessment of yellow fever-epidemic risk indices in Benue State, Nigeria, 2010–2011. Acta tropica, 161, 18-25.",point,-999,,,2011,Nigeria,NGA,,NEW
Aedes aegypti,5007,published,Less than 25km,Less than 25km,7.77,4.57,2011,Nigeria,NGA,182,NA
Aedes albopictus,41127,published,Less than 25km,Less than 25km,7.77,4.57,2011,Nigeria,NGA,182,NA
Aedes aegypti,5009,published,point,-999,12.56,-12.19,2011,Senegal,SEN,217,NA
Aedes aegypti,5010,published,point,-999,12.61,-12.25,2011,Senegal,SEN,217,NA
Aedes aegypti,5011,published,point,-999,12.8,-16.23,2011,Senegal,SEN,217,NA
Aedes aegypti,,"Guindo-Coulibaly, N., Diakite, N. R., Adja, A. M., Coulibaly, J. T., Bassa, K. F., Konan, Y. L., & N'Goran, K. E. (2018). Biology of two larval morphological phenotypes of Aedes aegypti in Abidjan, Côte d'Ivoire. Bulletin of entomological research, 108(4), 540-546.",point,-999,5.3,-4.01,2012,C™te d'Ivoire,CIV,,NEW
Aedes aegypti,,"da Moura, A. J. F., de Melo Santos, M. A. V., Oliveira, C. M. F., Guedes, D. R. D., de Carvalho-Leandro, D., da Cruz Brito, M. L., ... & Ayres, C. F. J. (2015). Vector competence of the Aedes aegypti population from Santiago Island, Cape Verde, to different serotypes of dengue virus. Parasites & vectors, 8(1), 114.",point,-999,15.12,-23.65,2012,Cape Verde,,,NEW
Aedes aegypti,,"Bargielowski, I. E., Lounibos, L. P., Shin, D., Smartt, C. T., Carrasquilla, M. C., Henry, A., ... & Dennett, J. A. (2015). Widespread evidence for interspecific mating between Aedes aegypti and Aedes albopictus (Diptera: Culicidae) in nature. Infection, Genetics and Evolution, 36, 456-461.",point,-999,-1.59,13.6,2012,Gabon,GAB,,NEW
Aedes albopictus,,"Bargielowski, I. E., Lounibos, L. P., Shin, D., Smartt, C. T., Carrasquilla, M. C., Henry, A., ... & Dennett, J. A. (2015). Widespread evidence for interspecific mating between Aedes aegypti and Aedes albopictus (Diptera: Culicidae) in nature. Infection, Genetics and Evolution, 36, 456-461.",point,-999,-1.66,13.55,2012,Gabon,GAB,,NEW
Aedes aegypti,,"Suzuki, T., Osei, J. H., Sasaki, S., Adimazoya, M., Appawu, M., Boakye, D., ... & Dadzie, S. (2016). Risk of transmission of viral haemorrhagic fevers and the insecticide susceptibility status of Aedes aegypti (Linnaeus) in some sites in Accra, Ghana. Ghana medical journal, 50(3), 136-141.",point,-999,5.65,-0.19,2012,Ghana,GHA,,NEW
Aedes albopictus,,"Suzuki, T., Osei, J. H., Sasaki, S., Adimazoya, M., Appawu, M., Boakye, D., ... & Dadzie, S. (2016). Risk of transmission of viral haemorrhagic fevers and the insecticide susceptibility status of Aedes aegypti (Linnaeus) in some sites in Accra, Ghana. Ghana medical journal, 50(3), 136-141.",point,-999,5.68,-0.05,2012,Ghana,GHA,,NEW
Aedes albopictus,,"Müller, G. C., Tsabari, O., Traore, M. M., Traore, S. F., Doumbia, S., Kravchenko, V. D., ... & Beier, J. C. (2016). First record of Aedes albopictus in inland Africa along the River Niger in Bamako and Mopti, Mali. Acta tropica, 162, 245-247.",point,-999,12.63,-7.97,2012,Mali,,,NEW
Aedes aegypti,,"Müller, G. C., Tsabari, O., Traore, M. M., Traore, S. F., Doumbia, S., Kravchenko, V. D., ... & Beier, J. C. (2016). First record of Aedes albopictus in inland Africa along the River Niger in Bamako and Mopti, Mali. Acta tropica, 162, 245-247.",point,-999,12.67,-7.99,2012,Mali,,,NEW
