organization_id, org_name, site_id, site_name, latitude, longitude, elevation, measured_on, mosquito habitat mapper:mosquito habitat mapper id,mosquito habitat mapper:data source,mosquito habitat mapper:userid,mosquito habitat mapper:measured at,mosquito habitat mapper:water source type,mosquito habitat mapper:water source,mosquito habitat mapper:larvae count,mosquito habitat mapper:mosquito eggs,mosquito habitat mapper:mosquito egg count,mosquito habitat mapper:mosquito pupae,mosquito habitat mapper:mosquito adults,mosquito habitat mapper:last identify stage,mosquito habitat mapper:genus,mosquito habitat mapper:species,mosquito habitat mapper:breeding ground eliminated,mosquito habitat mapper:extra data,mosquito habitat mapper:water source photo urls,mosquito habitat mapper:larva full body photo urls,mosquito habitat mapper:abdomen closeup photo urls,mosquito habitat mapper:comments,mosquito habitat mapper:measurement latitude,mosquito habitat mapper:measurement longitude,mosquito habitat mapper:measurement elevation
The GLOBE ID assigned to the school or organization,The name of the reporting school or other institution,The GLOBE ID assigned to the site,The name assigned to the site where the data were collected; the name is selected by the reporting person as part of site definition,The latitude of the site where data were observed in decimal degrees,The longitude of the site where date were observed in decimal degrees,The elevation of the site where data were observed in meters,The date only of when the data were observed in Coordinated Universal Time (UTC),,,,,,,,,,,,,,,,,,,,,,,
51296301,Africa Hope ONG,167450,31NDH518248,6.557017,2.56401,40.8,2019-09-11,16601,GLOBE Observer App,59555901,2019-09-11T11:32:00,container: artificial,can or bottle,2,false,,true,true,identify-siphon-hairs,,,true,,https://data.globe.gov/system/photos/2019/09/11/1199514/original.jpg; https://data.globe.gov/system/photos/2019/09/11/1199515/original.jpg; https://data.globe.gov/system/photos/2019/09/11/1199516/original.jpg,,,,6.557100,2.564700,0.0
51296301,Africa Hope ONG,168979,31NDH555221,6.532621,2.597497,15.1,2019-09-24,17431,GLOBE Observer App,59555501,2019-09-24T13:07:00,container: artificial,trash container,,false,,false,false,identify-analyze-siphon,,,true,,,https://data.globe.gov/system/photos/2019/09/24/1216885/original.jpg; https://data.globe.gov/system/photos/2019/09/24/1216886/original.jpg; https://data.globe.gov/system/photos/2019/09/24/1216887/original.jpg; https://data.globe.gov/system/photos/2019/09/24/1216888/original.jpg,,,6.533500,2.598000,0.0
51296301,Africa Hope ONG,168983,31NDH557223,6.534431,2.599304,15.1,2019-09-24,17435,GLOBE Observer App,59555501,2019-09-24T13:19:00,container: artificial,fountain or bird bath,,false,,false,false,identify-no-siphon,Anopheles,,true,,,https://data.globe.gov/system/photos/2019/09/24/1216908/original.png; https://data.globe.gov/system/photos/2019/09/24/1216909/original.png; https://data.globe.gov/system/photos/2019/09/24/1216910/original.png; https://data.globe.gov/system/photos/2019/09/24/1216911/original.png,,,6.535300,2.599700,0.0
51296301,Africa Hope ONG,167135,31NDH558219,6.530814,2.600212,14.3,2019-09-06,16243,GLOBE Observer App,59556501,2019-09-06T10:48:00,container: artificial,can or bottle,17,false,,false,false,identify,,,true,,https://data.globe.gov/system/photos/2019/09/06/1196205/original.jpg,,,,6.531500,2.600700,0.0
51296301,Africa Hope ONG,167136,31NDH560220,6.53172,2.60202,21.6,2019-09-06,16244,GLOBE Observer App,59556501,2019-09-06T11:06:00,container: artificial,can or bottle,16,false,,false,false,identify-analyze-siphon,,,true,,https://data.globe.gov/system/photos/2019/09/06/1196206/original.jpg,,,,6.532100,2.602900,0.0
51296301,Africa Hope ONG,169025,31NDH561203,6.516342,2.602937,28.7,2019-09-19,17447,GLOBE Observer App,59556501,2019-09-19T17:06:00,container: artificial,tire,18,false,,false,true,identify-siphon-shape,,,true,,https://data.globe.gov/system/photos/2019/09/19/1217532/original.jpg,https://data.globe.gov/system/photos/2019/09/19/1217533/original.jpg,,,6.516800,2.603600,0.0
51296301,Africa Hope ONG,169026,31NDH561204,6.517247,2.602936,27.7,2019-09-19,17448,GLOBE Observer App,59556501,2019-09-19T17:10:00,container: artificial,tire,12,false,,false,true,identify-analyze-siphon,,,true,,,,,,6.517500,2.603000,0.0
51296301,Africa Hope ONG,167436,31NDH561220,6.531721,2.602925,26.7,2019-09-11,16592,GLOBE Observer App,59556501,2019-09-11T09:58:00,container: artificial,can or bottle,8,false,,false,true,identify-aedes-tuft,Aedes,,true,,https://data.globe.gov/system/photos/2019/09/11/1199430/original.jpg,https://data.globe.gov/system/photos/2019/09/11/1199431/original.jpg; https://data.globe.gov/system/photos/2019/09/11/1199432/original.jpg,,,6.531800,2.603000,0.0
51296301,Africa Hope ONG,167436,31NDH561220,6.531721,2.602925,26.7,2019-09-11,16597,GLOBE Observer App,59556501,2019-09-11T10:33:00,container: artificial,dish or pot,,false,,false,false,identify-no-basal-tuft,Culex,,true,,https://data.globe.gov/system/photos/2019/09/11/1199438/original.jpg,https://data.globe.gov/system/photos/2019/09/11/1199439/original.jpg; https://data.globe.gov/system/photos/2019/09/11/1199440/original.jpg,,,6.531800,2.603000,0.0
51296301,Africa Hope ONG,169024,31NDH562203,6.516343,2.603841,29.0,2019-09-19,17446,GLOBE Observer App,59556501,2019-09-19T16:38:00,container: artificial,tire,15,false,,false,true,identify-saddle-comb,,,true,,https://data.globe.gov/system/photos/2019/09/19/1217524/original.jpg,https://data.globe.gov/system/photos/2019/09/19/1217525/original.jpg; https://data.globe.gov/system/photos/2019/09/19/1217526/original.jpg; https://data.globe.gov/system/photos/2019/09/19/1217527/original.jpg; https://data.globe.gov/system/photos/2019/09/19/1217528/original.jpg; https://data.globe.gov/system/photos/2019/09/19/1217529/original.jpg; https://data.globe.gov/system/photos/2019/09/19/1217530/original.jpg; https://data.globe.gov/system/photos/2019/09/19/1217531/original.jpg,,,6.516800,2.603900,0.0
51296301,Africa Hope ONG,167435,31NDH562218,6.529912,2.60383,31.4,2019-09-08,16591,GLOBE Observer App,59556501,2019-09-08T18:27:00,container: artificial,can or bottle,31,false,,false,false,identify-no-siphon,Anopheles,,true,,https://data.globe.gov/system/photos/2019/09/08/1199422/original.jpg,https://data.globe.gov/system/photos/2019/09/08/1199425/original.jpg; https://data.globe.gov/system/photos/2019/09/08/1199428/original.jpg,,,6.530100,2.604500,0.0
51296301,Africa Hope ONG,168167,31NDH563217,6.529008,2.604736,33.8,2019-09-18,17039,GLOBE Observer App,59555501,2019-09-18T10:21:00,container: artificial,fountain or bird bath,,,,false,,identify-siphon-shape,,,true,,https://data.globe.gov/system/photos/2019/09/18/1207866/original.png; https://data.globe.gov/system/photos/2019/09/18/1207867/original.png; https://data.globe.gov/system/photos/2019/09/18/1207868/original.png,,,Une larve particulier qui ne ressemble en rien au larves provoquant la maladie du ZIKA,6.529800,2.605400,0.0
51296301,Africa Hope ONG,169076,31NDH563219,6.530817,2.604734,31.8,2019-09-25,17476,GLOBE Observer App,59556501,2019-09-25T06:52:00,container: artificial,tire,,,,false,,identify,,,true,,https://data.globe.gov/system/photos/2019/09/25/1217944/original.jpg,,,,6.531400,2.605100,0.0
51296301,Africa Hope ONG,167137,31NDH563222,6.533531,2.604732,31.7,2019-09-08,16245,GLOBE Observer App,59556501,2019-09-08T17:53:00,container: artificial,can or bottle,35,false,,false,false,identify-no-siphon,Anopheles,,true,,https://data.globe.gov/system/photos/2019/09/08/1196207/original.jpg,https://data.globe.gov/system/photos/2019/09/08/1196208/original.jpg; https://data.globe.gov/system/photos/2019/09/08/1196209/original.jpg; https://data.globe.gov/system/photos/2019/09/08/1196210/original.jpg,,,6.533900,2.605000,0.0
51296301,Africa Hope ONG,166885,31NDH566181,6.496445,2.607474,20.5,2019-09-05,16077,GLOBE Observer App,59555901,2019-09-05T15:34:00,container: artificial,dish or pot,4,false,,false,false,identify,,,true,,https://data.globe.gov/system/photos/2019/09/05/1192814/original.jpg; https://data.globe.gov/system/photos/2019/09/05/1192815/original.jpg; https://data.globe.gov/system/photos/2019/09/05/1192816/original.jpg,,,,6.496900,2.607600,0.0
51296301,Africa Hope ONG,166888,31NDH569186,6.50097,2.610184,19.2,2019-09-05,16080,GLOBE Observer App,59556101,2019-09-05T15:48:00,container: artificial,well or cistern,4,false,,false,false,identify-later,,,true,,,,,,6.501100,2.610700,0.0
51296301,Africa Hope ONG,166892,31NDH569189,6.503684,2.610182,21.0,2019-09-05,16085,GLOBE Observer App,59556501,2019-09-05T15:34:00,container: artificial,dish or pot,4,false,,false,false,identify,,,true,,https://data.globe.gov/system/photos/2019/09/05/1192851/original.jpg; https://data.globe.gov/system/photos/2019/09/05/1192852/original.jpg; https://data.globe.gov/system/photos/2019/09/05/1192853/original.jpg; https://data.globe.gov/system/photos/2019/09/05/1192854/original.jpg,,,,6.503900,2.610300,0.0
51296301,Africa Hope ONG,166886,31NDH580184,6.499168,2.620134,22.9,2019-09-05,16078,GLOBE Observer App,59555501,2019-09-05T15:38:00,container: artificial,dish or pot,,,,false,,identify-siphon-shape,,,true,,https://data.globe.gov/system/photos/2019/09/05/1192817/original.jpg; https://data.globe.gov/system/photos/2019/09/05/1192818/original.jpg; https://data.globe.gov/system/photos/2019/09/05/1192819/original.jpg; https://data.globe.gov/system/photos/2019/09/05/1192820/original.jpg,,,Nous avons observer une larve dans de l'eau de ruissellement.,6.499700,2.620600,0.0
51296301,Africa Hope ONG,167593,31NDH582214,6.526308,2.621923,27.6,2019-09-12,16709,GLOBE Observer App,59556101,2019-09-12T22:48:00,container: artificial,can or bottle,,,,false,,identify,,,true,,https://data.globe.gov/system/photos/2019/09/12/1201627/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201628/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201629/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201630/original.jpg,,,,6.527200,2.622800,0.0
51296301,Africa Hope ONG,167592,31NDH583214,6.526308,2.622827,28.0,2019-09-12,16704,GLOBE Observer App,59556101,2019-09-12T22:36:00,container: artificial,can or bottle,,,,false,,identify,,,true,,https://data.globe.gov/system/photos/2019/09/12/1201599/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201601/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201602/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201603/original.jpg,,,,6.527100,2.623600,0.0
51296301,Africa Hope ONG,167592,31NDH583214,6.526308,2.622827,28.0,2019-09-12,16705,GLOBE Observer App,59556101,2019-09-12T22:39:00,container: artificial,can or bottle,,,,false,,identify,,,true,,https://data.globe.gov/system/photos/2019/09/12/1201605/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201606/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201607/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201608/original.jpg,,,,6.527200,2.623500,0.0
51296301,Africa Hope ONG,167592,31NDH583214,6.526308,2.622827,28.0,2019-09-12,16708,GLOBE Observer App,59556101,2019-09-12T22:45:00,container: artificial,can or bottle,,,,false,,identify,,,true,,https://data.globe.gov/system/photos/2019/09/12/1201617/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201618/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201619/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201620/original.jpg,,,,6.527100,2.623700,0.0
51296301,Africa Hope ONG,167592,31NDH583214,6.526308,2.622827,28.0,2019-09-12,16710,GLOBE Observer App,59556101,2019-09-12T22:52:00,container: artificial,can or bottle,,,,false,,identify,,,true,,https://data.globe.gov/system/photos/2019/09/12/1201631/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201632/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201633/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201634/original.jpg,,,,6.527200,2.623600,0.0
51296301,Africa Hope ONG,167592,31NDH583214,6.526308,2.622827,28.0,2019-09-12,16706,GLOBE Observer App,59556101,2019-09-12T22:42:00,container: artificial,can or bottle,,,,false,,identify,,,true,,https://data.globe.gov/system/photos/2019/09/12/1201609/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201610/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201611/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201612/original.jpg,,,,6.527100,2.623300,0.0
51296301,Africa Hope ONG,167592,31NDH583214,6.526308,2.622827,28.0,2019-09-12,16707,GLOBE Observer App,59556101,2019-09-12T22:43:00,container: artificial,can or bottle,,,,false,,identify,,,true,,https://data.globe.gov/system/photos/2019/09/12/1201613/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201614/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201615/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201616/original.jpg,,,,6.527200,2.623400,0.0
51296301,Africa Hope ONG,167595,31NDH583215,6.527213,2.622827,25.6,2019-09-12,16713,GLOBE Observer App,59556101,2019-09-12T22:58:00,container: artificial,can or bottle,,,,false,,identify,,,true,,https://data.globe.gov/system/photos/2019/09/12/1201643/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201644/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201645/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201646/original.jpg,,,,6.527400,2.623500,0.0
51296301,Africa Hope ONG,167595,31NDH583215,6.527213,2.622827,25.6,2019-09-12,16712,GLOBE Observer App,59556101,2019-09-12T22:56:00,container: artificial,can or bottle,,,,false,,identify,,,true,,https://data.globe.gov/system/photos/2019/09/12/1201639/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201640/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201641/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201642/original.jpg,,,,6.527400,2.623600,0.0
51296301,Africa Hope ONG,167594,31NDH584214,6.526309,2.623732,29.8,2019-09-12,16711,GLOBE Observer App,59556101,2019-09-12T22:54:00,container: artificial,can or bottle,,,,false,,identify,,,true,,https://data.globe.gov/system/photos/2019/09/12/1201635/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201636/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201637/original.jpg; https://data.globe.gov/system/photos/2019/09/12/1201638/original.jpg,,,,6.527000,2.623900,0.0
51296301,Africa Hope ONG,167142,31NDH591196,6.510031,2.630075,25.8,2019-09-08,16371,GLOBE Observer App,59555901,2019-09-08T21:07:00,container: artificial,can or bottle,6,false,,true,false,identify-no-siphon,,,true,,https://data.globe.gov/system/photos/2019/09/08/1197157/original.jpg; https://data.globe.gov/system/photos/2019/09/08/1197158/original.jpg; https://data.globe.gov/system/photos/2019/09/08/1197159/original.jpg,,,Ces larves de moustique sont plus fines et plus jeûnes que tout les autres,6.510500,2.630700,0.0
51296301,Africa Hope ONG,167142,31NDH591196,6.510031,2.630075,25.8,2019-09-08,16249,GLOBE Observer App,59555901,2019-09-08T18:55:00,container: artificial,dish or pot,4,false,,true,false,identify-analyze-siphon,,,true,,https://data.globe.gov/system/photos/2019/09/08/1196271/original.jpg; https://data.globe.gov/system/photos/2019/09/08/1196272/original.jpg; https://data.globe.gov/system/photos/2019/09/08/1196274/original.jpg; https://data.globe.gov/system/photos/2019/09/08/1196275/original.jpg,,,,6.510500,2.630700,0.0
51296301,Africa Hope ONG,167142,31NDH591196,6.510031,2.630075,25.8,2019-09-08,16247,GLOBE Observer App,59555901,2019-09-08T18:33:00,container: artificial,jar,,,,false,,identify-siphon-hairs,,,true,,https://data.globe.gov/system/photos/2019/09/08/1196232/original.jpg; https://data.globe.gov/system/photos/2019/09/08/1196233/original.jpg,,,,6.510500,2.630700,0.0
51296301,Africa Hope ONG,167142,31NDH591196,6.510031,2.630075,25.8,2019-09-08,16248,GLOBE Observer App,59555901,2019-09-08T18:41:00,container: artificial,jar,8,false,,true,true,,Aedes,albopictus,true,,https://data.globe.gov/system/photos/2019/09/08/1196246/original.jpg; https://data.globe.gov/system/photos/2019/09/08/1196252/original.jpg,https://data.globe.gov/system/photos/2019/09/08/1196256/original.jpg,,,6.510500,2.630700,0.0
51296301,Africa Hope ONG,167142,31NDH591196,6.510031,2.630075,25.8,2019-09-11,16634,GLOBE Observer App,59555901,2019-09-11T20:43:00,container: artificial,can or bottle,2,true,,true,false,identify-siphon-hairs,,,true,,https://data.globe.gov/system/photos/2019/09/11/1200436/original.jpg; https://data.globe.gov/system/photos/2019/09/11/1200437/original.jpg; https://data.globe.gov/system/photos/2019/09/11/1200438/original.jpg,,,,6.510500,2.630700,0.0
51296301,Africa Hope ONG,166937,31NDH597175,6.491038,2.635515,15.2,2019-09-06,16099,GLOBE Observer App,59555901,2019-09-06T10:34:00,container: artificial,can or bottle,7,false,,true,false,identify-basal-tuft,,,true,,https://data.globe.gov/system/photos/2019/09/06/1193765/original.jpg; https://data.globe.gov/system/photos/2019/09/06/1193767/original.jpg; https://data.globe.gov/system/photos/2019/09/06/1193768/original.jpg,https://data.globe.gov/system/photos/2019/09/06/1193769/original.jpg,,,6.491800,2.635600,0.0
51296301,Africa Hope ONG,167448,31NDH600185,6.500086,2.638222,22.9,2019-09-09,16599,GLOBE Observer App,59555901,2019-09-09T17:04:00,container: artificial,can or bottle,12,false,,true,true,identify-siphon-hairs,,,true,,https://data.globe.gov/system/photos/2019/09/09/1199508/original.jpg; https://data.globe.gov/system/photos/2019/09/09/1199509/original.jpg,https://data.globe.gov/system/photos/2019/09/09/1199510/original.jpg,,,6.500500,2.638400,0.0
51296301,Africa Hope ONG,167449,31NDH600204,6.517274,2.63821,30.5,2019-09-10,16600,GLOBE Observer App,59555901,2019-09-10T19:51:00,container: artificial,can or bottle,3,false,,true,true,identify-analyze-siphon,,,true,,https://data.globe.gov/system/photos/2019/09/10/1199511/original.jpg; https://data.globe.gov/system/photos/2019/09/10/1199512/original.jpg; https://data.globe.gov/system/photos/2019/09/10/1199513/original.jpg,,,,6.518000,2.638400,0.0
51296301,Africa Hope ONG,167219,31NDH625171,6.487437,2.660842,21.9,2019-09-09,16372,GLOBE Observer App,59555901,2019-09-09T12:31:00,container: artificial,dish or pot,4,false,,true,true,identify-siphon-shape,,,true,,,,,,6.487800,2.661400,0.0
51296301,Africa Hope ONG,167501,31NDH645171,6.487449,2.67893,15.0,2019-09-11,16633,GLOBE Observer App,59555901,2019-09-11T18:35:00,container: artificial,can or bottle,2,true,,true,true,identify-basal-tuft,,,true,,https://data.globe.gov/system/photos/2019/09/11/1200431/original.jpg; https://data.globe.gov/system/photos/2019/09/11/1200433/original.jpg; https://data.globe.gov/system/photos/2019/09/11/1200434/original.jpg,,,,6.487800,2.679600,0.0
24273816,Batasan Hills National High School,147554,33PSR855739,14.218887,12.086047,340.3,2019-03-12,8987,GLOBE Observer App,24636005,2019-03-12T04:26:00,container: artificial,dish or pot,,,,false,,identify-siphon-shape,,,false,,https://data.globe.gov/system/photos/2019/03/12/992581/original.jpg,https://data.globe.gov/system/photos/2019/03/12/992582/original.jpg,https://data.globe.gov/system/photos/2019/03/12/992583/original.jpg,,14.219600,12.086900,0.0
17652688,Benin Citizen Science,130765,31NCG041803,6.151716,1.229645,21.4,2018-06-08,2753,GLOBE Observer App,45159355,2018-06-08T06:12:00,container: artificial,well or cistern,,false,,true,true,identify-siphon-shape,,,true,,https://data.globe.gov/system/photos/2018/06/08/758320/original.jpg,https://data.globe.gov/system/photos/2018/06/08/758321/original.jpg; https://data.globe.gov/system/photos/2018/06/08/758322/original.jpg,,,6.151716,1.229645,21.4
17652688,Benin Citizen Science,130765,31NCG041803,6.151716,1.229645,21.4,2018-06-08,2756,GLOBE Observer App,45117555,2018-06-08T08:07:00,container: artificial,can or bottle,5,false,,false,true,identify-siphon-shape,,,true,,https://data.globe.gov/system/photos/2018/06/08/758338/original.jpg,https://data.globe.gov/system/photos/2018/06/08/758340/original.jpg,,,6.151716,1.229645,21.4
17652688,Benin Citizen Science,130764,31NCG041814,6.161662,1.229612,20.9,2018-06-08,2752,GLOBE Observer App,45117555,2018-06-08T06:23:00,container: artificial,other,,false,,true,true,identify-basal-tuft,,,true,,,https://data.globe.gov/system/photos/2018/06/08/758316/original.jpg,,,6.161662,1.229612,20.9
17652688,Benin Citizen Science,130769,31NCG057779,6.130063,1.244171,5.7,2018-06-07,2755,GLOBE Observer App,45117555,2018-06-07T15:51:00,still: lake/pond/swamp,ditch,,,,,,,,,true,,https://data.globe.gov/system/photos/2018/06/07/758336/original.jpg,,,,6.130063,1.244171,5.7
17652688,Benin Citizen Science,140762,31NCH578339,6.637856,1.713624,39.7,2018-11-03,4987,GLOBE Observer App,50091639,2018-11-03T16:01:00,still: lake/pond/swamp,swamp or wetland,15,false,,false,false,identify-verify-larva,,,true,,https://data.globe.gov/system/photos/2018/11/03/893766/original.jpg,,,,6.637900,1.714200,0.0
